ID,Name,Email,Sponsored,"Created At","Phone Number",Ranking,Website,"Date of Origin","About University","About Scholarship"
30,"archie jamwalaa",admin12@yopmail.com,no,30-03-2018,,3,,,,
31,"archieE jamwalaa",admin122@yopmail.com,yes,30-03-2018,,1,,,,
32,"archieaE jamwalaa",admin1223@yopmail.com,yes,30-03-2018,,70,,,,
33,"University of Newyork University of Newyork Univer",uni21@yopmail.com,yes,17-04-2018,1212121212,5,www.abc.com,01-01-2000,asdf,DFRGRRExc
35,univesity1,university1@mailinator.com,no,25-04-2018,2147483647,4,http://frontend.edseen.com/profile,11-04-2018,"about university desc","about Scholarships desc"
38,uni,uni1@yopmail.com,no,30-03-2018,,,,,,
41,kuk,kuk@mailinator.com,no,02-04-2018,,,,,,
53,archi,u2@yopmail.com,no,02-04-2018,,,,,,
57,university6,university6@mailinator.com,no,02-04-2018,,,,,,
59,q1,q1@yopmail.com,no,02-04-2018,,,,,,
